case,year,DWT_CLOSS_PgCperyr,WOOD_HARVESTC_PgCperyr,DWT_PROD10C_GAIN_PgCperyr,DWT_PROD100C_GAIN_PgCperyr,NEE_PgCperyr,NPP_PgCperyr,COL_FIRE_CLOSS_PgCperyr,PROD10C_PgC_avg,PROD100C_PgC_avg,TOTVEGC_PgC_avg,TOTSOMC_PgC_avg,TOTECOSYSC_PgC_avg,PBOT_Pa,QBOT_massfrac,co2_ppmv
iESM45_uncoupled,2008,0.128788367,1.063968911,0.064165912,0.0042926,-0.078387729,46.75550805,2.248438885,4.61598317,4.245154041,528.4535858,513.4868902,1125.566276,91896.43355,0.00700472,414.84501
iESM45_uncoupled,2009,0.130842739,1.072858352,0.064603858,0.003803291,-0.731003151,46.7369638,2.243960217,4.61709041,4.236555008,529.6613148,513.4992983,1126.376062,91874.91353,0.007077512,417.2144547
iESM45_uncoupled,2010,0.14702871,1.085779308,0.076633506,0.002420321,-1.007523127,47.72787884,2.153481589,4.632230385,4.22869468,529.2641812,513.7210323,1126.62037,91868.61797,0.006892719,419.7614899
iESM45_uncoupled,2011,0.147333487,1.096317559,0.076305293,0.002848438,-0.645062659,46.64665979,2.029017498,4.657953379,4.222457811,530.7320441,513.7094326,1127.957395,91859.7034,0.006893215,422.0366074
iESM45_uncoupled,2012,0.147480369,1.110181392,0.077622852,0.002491082,0.475370141,46.31991571,2.096914914,4.688035634,4.218482194,530.0289411,514.1710439,1127.962541,91866.25889,0.006971253,425.0853073
iESM45_uncoupled,2013,0.142125431,1.130846018,0.073430412,0.002687981,-0.783259106,47.5136177,2.074543493,4.723531943,4.217429673,530.2877937,514.4515651,1128.101876,91878.91852,0.006945087,427.9207237
iESM45_uncoupled,2014,0.152670162,1.146115424,0.080946218,0.002485784,-0.119972763,46.5541036,2.136304386,4.767100844,4.21897792,530.200933,514.7423201,1128.47551,91878.04185,0.006922839,430.7620082
iESM45_uncoupled,2015,1.447712852,1.16859194,0.335285084,0.060294917,-0.136938572,48.30962122,1.906298986,4.938629486,4.250789579,530.3312263,514.9386217,1128.436989,91831.77981,0.007110924,434.0341509
iESM45_uncoupled,2016,1.389800268,1.151424298,0.297049201,0.056510498,-0.699312594,47.93330502,1.907797974,5.165568118,4.312003502,531.1270805,514.7266856,1129.194668,91870.41792,0.006978947,437.0133871
iESM45_uncoupled,2017,1.281519351,1.147275358,0.254565503,0.049415133,-0.216725136,47.53571859,2.056433814,5.295550475,4.372085562,530.5362961,514.8945218,1129.336415,91874.43538,0.00693946,440.1420552
