case,year,TREFHT_K,TS_K,PRECT_mmperyr,QREFHT_massfrac,RHREFHT_percent,LHFLX_Wperm2,SHFLX_Wperm2,FLNS_Wperm2,FLNT_Wperm2,FSNS_Wperm2,FSNT_Wperm2,FLDVG_Wperm2,FSDVG_Wperm2,RESTOM_Wperm2
iESM_coupled,2064,289.9446118,290.6737476,1167.716657,0.011683129,77.85429721,92.49003221,17.83591351,50.36613227,238.8072347,163.3025122,240.4922354,-188.4411024,77.18972326,1.685000762
iESM_coupled,2065,289.7708462,290.5085485,1155.084541,0.011498534,77.73069543,91.65589025,17.86108567,51.04565054,238.2044813,164.2299432,241.0882041,-187.1588308,76.85826088,2.88372282
iESM_coupled,2066,289.9403062,290.6784806,1160.36024,0.011663846,77.73677042,92.09166528,17.94028188,50.70001208,238.2719175,164.2923087,241.3208435,-187.5719054,77.02853478,3.048925984
iESM_coupled,2067,290.1530054,290.8903038,1164.95601,0.011773983,77.57537116,92.41613048,18.14585808,50.66086343,239.0036958,164.273812,241.5333028,-188.3428323,77.25949081,2.529607004
iESM_coupled,2068,290.2155344,290.9506361,1170.584724,0.011880911,77.71407767,92.87087547,17.99538865,50.23655076,239.132448,164.1239704,241.5357668,-188.8958972,77.41179638,2.403318782
iESM_coupled,2069,290.3077735,291.0357007,1171.708946,0.011899285,77.70658741,92.88998167,17.94430291,50.10044473,239.3681653,163.9466071,241.4787828,-189.2677206,77.53217564,2.110617443
iESM_coupled,2070,290.2840313,291.0151966,1167.943988,0.011820488,77.57012152,92.66195284,18.00357289,50.54503303,239.154566,164.2382975,241.6218614,-188.609533,77.38356387,2.467295369
iESM_coupled,2071,290.4185837,291.1525264,1174.43876,0.011955839,77.70310205,93.21015755,17.97506737,50.1356497,239.3294015,164.3819752,241.8370048,-189.1937518,77.45502956,2.507603256
iESM_coupled,2072,290.5797798,291.3160578,1176.353482,0.012036999,77.59876099,93.29437195,17.95032219,50.0111269,239.548478,164.1489101,241.7460099,-189.5373511,77.59709981,2.197531857
iESM_coupled,2073,290.540644,291.2622773,1178.380765,0.012017222,77.63078471,93.41949007,17.86314702,49.9745306,239.5777114,163.9068627,241.4755989,-189.6031808,77.56873625,1.897887535
iESM_coupled,2074,290.4542136,291.1834617,1171.013101,0.011942845,77.69488403,92.91450088,17.91216144,50.06115934,238.9670647,164.2885255,241.7614572,-188.9059054,77.47293166,2.794392432
iESM_coupled,2075,290.4405188,291.1681864,1165.529372,0.011893256,77.4896557,92.40709773,18.01591147,50.37462505,238.8917809,164.5884106,241.9927264,-188.5171559,77.40431587,3.100945481
iESM_coupled,2076,290.5631654,291.2997287,1165.627799,0.011985557,77.48463989,92.52364153,18.1062167,50.22823366,239.0236189,164.5445634,242.0990772,-188.7953853,77.55451384,3.075458291
iESM_coupled,2077,290.7776826,291.514056,1179.513926,0.012223403,77.65692764,93.5701534,18.0854009,49.5762772,239.488313,164.1210367,241.9672438,-189.9120358,77.84620707,2.478930749
iESM_coupled,2078,290.8100595,291.5343572,1179.778401,0.012194255,77.59006158,93.53917719,18.04805068,49.61760665,239.7211407,164.3504791,242.0966928,-190.103534,77.74621368,2.375552088
iESM_coupled,2079,290.6928158,291.4239047,1170.33504,0.012074558,77.41540037,92.82736869,18.13943791,49.87080449,239.3010949,164.1836125,241.974951,-189.4302904,77.7913385,2.673856068
iESM_coupled,2080,290.7106428,291.4278699,1172.244866,0.012060583,77.31095561,92.94643216,17.96257593,50.09569636,239.3911508,164.2541085,242.0444669,-189.2954545,77.79035835,2.653316026
iESM_coupled,2081,290.9055379,291.633883,1180.573508,0.012208228,77.47301045,93.75044249,18.09591335,49.61508641,239.7289247,164.2451733,242.0904003,-190.1138383,77.84522698,2.361475564
iESM_coupled,2082,290.9958768,291.7079938,1187.304191,0.012383435,77.77738121,94.13959444,17.62545742,49.06333585,239.5817038,164.2195333,242.2286937,-190.5183679,78.00916042,2.646989972
iESM_coupled,2083,290.7895963,291.5073881,1177.862962,0.012187106,77.72357584,93.35991336,17.76100919,49.38251306,239.0935995,164.3678931,242.0624638,-189.7110864,77.6945707,2.968864317
iESM_coupled,2084,290.9315692,291.6379387,1181.748692,0.012257239,77.57752085,93.80829417,17.91525322,49.46687358,239.3006661,164.6489221,242.4509776,-189.8337925,77.80205542,3.150311449
iESM_coupled,2085,291.1021117,291.8212408,1185.883955,0.012404181,77.58569943,94.14481979,17.91094012,49.19471799,239.7848037,164.3635745,242.3738181,-190.5900857,78.01024358,2.589014441
iESM_coupled,2086,291.1881129,291.9016565,1195.371163,0.01250955,77.83874965,94.72364724,17.65564624,48.61315833,239.9101308,164.0212336,242.1657596,-191.2969725,78.14452602,2.255628768
iESM_coupled,2087,290.9847034,291.694868,1181.894272,0.012270316,77.49615997,93.7250168,17.81804781,49.55822626,239.6237615,164.6318847,242.4992829,-190.0655353,77.86739817,2.875521347
iESM_coupled,2088,291.0305042,291.7372903,1179.425386,0.012308069,77.41996098,93.60668306,17.86861376,49.54300806,239.6645896,164.791406,242.7753889,-190.1215815,77.98398292,3.110799338
iESM_coupled,2089,291.1124525,291.8211112,1186.568412,0.012416189,77.57729008,94.12343711,17.94781374,49.05587116,239.6831054,164.3963754,242.5120406,-190.6272342,78.11566522,2.828935282
